Close,5D MA,10D MA,20D MA,30D MA
0.317,0.31849099999999997,0.317596,0.317151,0.319723
0.316484,0.317822,0.317637,0.31716300000000003,0.313739
0.316813,0.31666,0.317617,0.31706100000000004,0.313153
0.316438,0.315604,0.317673,0.316612,0.31151
0.314279,0.315182,0.31753200000000004,0.316344,0.31327
0.312425,0.314713,0.317027,0.316101,0.310454
0.312636,0.31456,0.316787,0.315894,0.314795
0.313106,0.314959,0.316658,0.31587,0.315499
0.314654,0.315546,0.316892,0.316103,0.319254
0.315452,0.314866,0.31686,0.316342,0.317259
0.317306,0.314866,0.316678,0.316686,0.319723
0.318292,0.31546399999999997,0.316643,0.316913,0.319723
0.318902,0.316004,0.316332,0.317079,0.31855
0.31984,0.317247,0.31642600000000004,0.317531,0.323947
0.321225,0.318339,0.31676,0.317801,0.324182
0.322703,0.32000500000000004,0.317359,0.31801999999999997,0.327115
0.324254,0.321273,0.317917,0.318282,0.327479
0.326272,0.322587,0.31877300000000003,0.31863400000000003,0.32864
0.326836,0.323338,0.319442,0.31904099999999996,0.326763
0.326413,0.323819,0.319342,0.31918,0.32206999999999997
0.326531,0.324617,0.319741,0.319324,0.327702
0.325425,0.32484,0.320152,0.319375,0.321952
0.32421700000000003,0.325245,0.32062399999999996,0.319303,0.322598
0.32302,0.324928,0.321088,0.31926,0.320779
0.322628,0.324521,0.32143,0.319347,0.32011
0.321736,0.32413400000000003,0.322069,0.319617,0.323243
0.32272199999999995,0.324074,0.322673,0.319969,0.32688
0.323625,0.323921,0.323254,0.32048899999999997,0.327115
0.325245,0.32413200000000003,0.323735,0.321006,0.328875
0.327021,0.324825,0.324322,0.32116999999999996,0.328992
0.3281,0.324918,0.324768,0.321467,0.32864
0.32853499999999997,0.32562800000000003,0.325234,0.321977,0.32905100000000004
0.328511,0.32606799999999997,0.325656,0.322439,0.326998
0.327244,0.326244,0.325586,0.322807,0.32253899999999996
0.326587,0.326804,0.325662,0.323221,0.325707
0.325085,0.32659299999999997,0.325363,0.323577,0.321131
0.32350100000000004,0.326018,0.325046,0.323788,0.321131
0.32336,0.325936,0.324928,0.324148,0.32629400000000003
0.324088,0.325666,0.324899,0.324379,0.326176
0.324534,0.32556,0.325192,0.324735,0.327936
0.326364,0.325725,0.325321,0.325087,0.330283
0.328664,0.32608200000000004,0.325855,0.325517,0.332629
0.32932100000000003,0.32634,0.326204,0.325884,0.329579
0.330119,0.32710300000000003,0.32667399999999996,0.326092,0.330165
0.33023600000000003,0.327385,0.327094,0.326236,0.328523
0.329579,0.327971,0.327282,0.326233,0.326998
0.328546,0.32860500000000004,0.327311,0.326232,0.327467
0.32813600000000004,0.328728,0.327332,0.32619499999999996,0.32752600000000004
0.32812399999999997,0.329121,0.327394,0.326306,0.33010700000000004
0.328206,0.329221,0.327391,0.32653499999999996,0.328933
0.328746,0.329162,0.327443,0.326602,0.329696
0.329379,0.328963,0.327523,0.326891,0.330635
0.330318,0.329227,0.327784,0.327212,0.332219
0.330259,0.329192,0.32814699999999997,0.327513,0.329813
0.330764,0.329485,0.328435,0.327891,0.331456
0.330905,0.329825,0.328898,0.32813000000000003,0.3304
0.33084600000000003,0.330113,0.329359,0.328245,0.330341
0.330975,0.330646,0.329687,0.328437,0.332864
0.332137,0.331198,0.33016,0.328662,0.335621
0.33298099999999997,0.33187300000000003,0.330547,0.328885,0.33568000000000003
0.334483,0.332694,0.330928,0.329194,0.337909
0.335434,0.33314,0.33105100000000004,0.329395,0.335093
