Close,5D MA,10D MA,20D MA,30D MA
0.6105,0.610225,0.610425,0.606958,0.624
0.6158,0.611625,0.61145,0.608375,0.63
0.6217,0.612725,0.6125,0.609825,0.628
0.6264,0.614825,0.61375,0.610925,0.628
0.6277,0.617025,0.614775,0.611825,0.6285
0.629,0.61975,0.6156,0.612658,0.6305
0.6289,0.62235,0.616425,0.613542,0.6295
0.6299,0.6258,0.61765,0.6145079999999999,0.633
0.6309,0.62865,0.6189,0.6152920000000001,0.633
0.6316,0.62965,0.619737,0.616192,0.632
0.6326,0.6308,0.620512,0.617217,0.6355
0.6306,0.62975,0.620688,0.61755,0.6195
0.6294,0.62965,0.6211869999999999,0.618217,0.627
0.6277,0.6293,0.622062,0.618933,0.6245
0.6264,0.629,0.623012,0.619517,0.6255
0.624,0.6283,0.624025,0.619833,0.6235
0.6252,0.6279,0.625125,0.62025,0.6255
0.6254,0.6274,0.6266,0.6209,0.628
0.624,0.62585,0.62725,0.621217,0.6175
0.6221,0.62425,0.62695,0.621242,0.616
0.6225,0.62325,0.627025,0.621425,0.6255
0.6214,0.6233,0.626525,0.6215579999999999,0.62
0.6211,0.62325,0.62645,0.621875,0.6265
0.6232,0.6236,0.62645,0.622575,0.628
0.6252,0.62365,0.626325,0.623225,0.626
0.6256,0.62405,0.626175,0.624033,0.6275
0.6275,0.62445,0.626175,0.6249,0.6295
0.63,0.62555,0.626475,0.62625,0.639
0.633,0.6281,0.626975,0.627533,0.643
0.6369,0.63105,0.62765,0.628317,0.6455
0.6409,0.63325,0.62825,0.6291,0.6475
0.6457,0.6366,0.62995,0.629883,0.6535
0.6478,0.6389,0.631075,0.6306,0.6495
0.6482,0.6406,0.6321,0.631167,0.645
0.6485,0.6427,0.633175,0.631783,0.647
0.6475,0.6442,0.634125,0.6321829999999999,0.6425
0.6455,0.6456,0.635025,0.63265,0.6435
0.6457,0.64675,0.63615,0.633233,0.6505
0.6477,0.64795,0.638025,0.6339670000000001,0.655
0.6507,0.6496,0.640325,0.6349670000000001,0.662
0.6543,0.6509,0.642075,0.6358,0.6605
0.6577,0.6516,0.6441,0.637167,0.6605
0.6599,0.6528,0.64585,0.638317,0.6615
0.6613,0.6545,0.64755,0.639567,0.662
0.6618,0.65625,0.649475,0.640867,0.6645
0.6628,0.65855,0.651375,0.642267,0.6655
0.6634,0.66055,0.653075,0.643533,0.6635
